UniqueID,ItemID,d1b5c570 u8,3ca0fc03 u8,c61be841 u8,20dd4377 u8,1365b16d u8,db015556 u8,1b525407 u32
1,2264,0,1,1,0,1,0,0
2,2268,1,1,0,1,1,1,0
3,2266,1,1,1,1,1,0,0
4,2270,1,0,1,1,1,0,0
5,2267,1,1,1,1,0,1,0
6,2269,1,1,1,1,0,1,0
7,2265,2,1,1,1,0,0,1
8,2233,0,1,0,0,1,0,0
9,328,0,1,1,0,1,0,0
10,2234,0,1,1,0,1,0,0
11,2238,0,1,0,0,0,0,0
12,2219,0,1,1,0,1,0,0
13,2228,0,0,1,0,1,0,0
14,2620,0,1,1,0,1,0,0
15,2834,0,1,1,0,1,0,0
16,2839,2,1,1,1,0,0,0
17,2854,1,1,1,0,0,0,0
18,2833,1,1,0,1,1,0,0
19,7411,1,1,0,1,0,1,0
20,2831,1,0,1,1,0,1,0
21,7308,2,1,1,1,0,0,1
22,3277,1,1,0,1,0,0,0
23,3278,1,1,0,1,0,0,0
24,3279,1,1,0,1,0,0,0
25,4525,3,1,1,1,0,0,0
26,4526,3,1,1,1,0,0,0
27,4527,3,1,1,1,0,0,0
28,4528,3,1,1,1,0,0,0
29,2567,1,1,1,1,0,0,0
