SelectRate,Frames,MusicNo,UniqueID,BeforeDays,EventLabelShort,Timezone
1,476,201,0,0,EventNone,0
1,640,202,1,0,EventNone,0
1,441,203,2,0,EventNone,0
1,441,204,3,0,EventNone,0
1,354,205,4,0,EventNone,0
1,600,206,5,0,EventNone,0
3,542,207,6,1,TotakekeLive,0
3,468,208,7,7,FishingConvention,0
3,498,209,8,7,InsectConvention,0
10,506,210,9,14,Countdown,0
10,582,211,10,11,Easter,0
10,535,212,11,0,JuneBride,0
10,592,213,12,0,InternationalMuseum,0
10,504,214,13,4,Fireworks,0
10,474,215,14,30,Halloween,0
10,583,216,15,7,HarvestFestival,0
10,400,217,16,24,XmasEve,0
10,548,218,17,14,Carnival,0
1,720,219,20,0,EventNone,0
